hand_category,hand,tries,win,draw
13,2,100,26.0,0.0
13,3,100,18.0,0.0
13,4,100,23.0,0.0
13,5,100,22.0,0.0
14,1,100,27.0,0.0
14,2,100,24.0,0.0
14,3,100,24.0,0.0
14,4,100,17.0,0.0
14,5,100,27.0,0.0
15,1,100,19.0,0.0
15,2,100,14.000000000000002,0.0
15,3,100,21.0,0.0
15,4,100,28.000000000000004,0.0
16,1,100,20.0,0.0
16,2,100,26.0,0.0
16,3,100,20.0,0.0
16,4,100,27.0,0.0
17,1,100,19.0,10.0
17,2,100,25.0,12.0
17,3,100,13.0,20.0
18,1,100,35.0,11.0
18,2,100,38.0,7.000000000000001
18,3,100,31.0,20.0
19,1,100,41.0,7.000000000000001
19,2,100,50.0,8.0
20,1,100,57.99999999999999,34.0
20,2,100,65.0,23.0
21,1,100,87.0,13.0
12,1,1000,23.200000000000003,0.0
12,2,1000,20.7,0.0
12,3,1000,20.3,0.0
12,4,1000,22.900000000000002,0.0
12,5,1000,20.7,0.0
12,6,1000,22.2,0.0
13,1,1000,20.0,0.0
13,2,1000,21.5,0.0
13,3,1000,24.2,0.0
13,4,1000,22.3,0.0
13,5,1000,25.6,0.0
14,1,1000,21.8,0.0
14,2,1000,22.0,0.0
14,3,1000,20.599999999999998,0.0
14,4,1000,23.200000000000003,0.0
14,5,1000,23.799999999999997,0.0
15,1,1000,23.200000000000003,0.0
15,2,1000,21.099999999999998,0.0
15,3,1000,21.8,0.0
15,4,1000,21.0,0.0
16,1,1000,20.4,0.0
16,2,1000,21.5,0.0
16,3,1000,22.5,0.0
16,4,1000,22.6,0.0
17,1,1000,21.6,12.0
17,2,1000,21.3,9.6
17,3,1000,21.3,11.4
18,1,1000,32.9,12.0
18,2,1000,37.7,9.0
18,3,1000,34.0,11.700000000000001
19,1,1000,43.9,12.4
19,2,1000,45.9,11.1
20,1,1000,56.00000000000001,34.2
20,2,1000,58.199999999999996,27.900000000000002
21,1,1000,89.2,10.8
12,1,1000,23.9,0.0
12,2,1000,18.7,0.0
12,3,1000,20.0,0.0
12,4,1000,21.3,0.0
12,5,1000,21.0,0.0
12,6,1000,24.3,0.0
13,1,1000,22.5,0.0
13,2,1000,19.2,0.0
13,3,1000,21.9,0.0
13,4,1000,19.900000000000002,0.0
13,5,1000,21.6,0.0
14,1,1000,22.5,0.0
14,2,1000,20.5,0.0
14,3,1000,22.2,0.0
14,4,1000,21.099999999999998,0.0
14,5,1000,19.1,0.0
15,1,1000,21.5,0.0
15,2,1000,21.3,0.0
15,3,1000,20.9,0.0
15,4,1000,21.8,0.0
16,1,1000,24.3,0.0
16,2,1000,20.8,0.0
16,3,1000,23.599999999999998,0.0
16,4,1000,21.9,0.0
17,1,1000,22.8,12.2
17,2,1000,23.5,8.9
17,3,1000,20.9,11.5
18,1,1000,31.7,10.9
18,2,1000,37.7,10.0
18,3,1000,32.4,11.0
19,1,1000,43.9,13.600000000000001
19,2,1000,46.2,11.3
20,1,1000,55.50000000000001,33.7
20,2,1000,55.60000000000001,29.599999999999998
21,1,1000,90.3,9.700000000000001
12,1,1000,22.7,0.0
12,2,1000,20.7,0.0
12,3,1000,22.1,0.0
12,4,1000,22.7,0.0
12,5,1000,20.3,0.0
12,6,1000,22.8,0.0
13,1,1000,20.599999999999998,0.0
13,2,1000,20.3,0.0
13,3,1000,22.0,0.0
13,4,1000,20.8,0.0
13,5,1000,22.3,0.0
14,1,1000,22.0,0.0
14,2,1000,22.3,0.0
14,3,1000,20.200000000000003,0.0
14,4,1000,21.6,0.0
14,5,1000,21.3,0.0
15,1,1000,20.0,0.0
15,2,1000,20.599999999999998,0.0
